,Name,Rating,Price,Quantity
130,Brickworks Ciderhouse Stadium Island Peach Cider,3.61,3.6,1.0
242,Brickworks Ciderhouse Raspberry Peach Cider,3.53,3.6,1.0
322,Thornbury Craft Strong Apple Cider,3.59,3.85,1.0
